ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_x_std,macc_y_mean,macc_y_std,macc_z_mean,macc_z_std,mgps_lat_mean,mgps_lat_std,mgps_lon_mean,mgps_lon_std,e4acc_x_mean,e4acc_x_std,e4acc_y_mean,e4acc_y_std,e4acc_z_mean,e4acc_z_std,bvp_mean,bvp_std,hr_mean,hr_std,temp_mean,temp_std
2019_12_04_09_28_00_AM,meal,2.0,2.0,1.0,0.0,,,workplace,5.0,6.0,3.0,-3.983941902040313,4.0704318574321885,1.7256313395349387,1.6017437883877856,7.298024424438974,2.7146296426786436,37.5707989,,126.9814736,,-0.6969319661458333,0.27955068210831574,-0.05301106770833333,0.6853290558727076,0.23470865885416667,0.21685808446035923,-0.9525044348448116,52.01979952134474,79.50596114285715,10.679404657007924,33.78233333333345,0.05123958546426342
2019_12_04_09_29_00_AM,meal,2.0,2.0,1.0,0.0,,,workplace,5.0,6.0,4.0,0.19322441101982032,1.0726051220026263,0.9214874667873436,1.4179607915717674,9.651769508398658,1.3475230404152772,37.5707989,,126.9814736,,-0.7133626302083333,0.2808606543268184,-0.3370442708333333,0.21812516805559268,0.4575927734375,0.28803304089191456,0.6813790976692443,99.75454858317055,,,33.95766666666664,0.06035783578216522
2019_12_04_09_30_00_AM,meal,2.0,2.0,1.0,0.0,,,workplace,5.0,6.0,3.0,0.9983737194464721,1.1016951028402024,1.2772276386996648,1.2993495833221025,9.562210756495002,0.5685015694732044,37.5707989,,126.9814736,,-0.8543212890625,0.15854078348973474,-0.3295084635416667,0.2429687370186326,0.22906901041666666,0.26059175667384943,0.3128027619177075,62.279246449159245,81.9369525,13.417255713599275,34.0896666666666,0.023284068334695856
2019_12_04_09_31_00_AM,meal,2.0,2.0,1.0,0.0,,,workplace,5.0,6.0,3.0,2.247750817525194,0.03185275309299035,2.547627708286678,0.02994519120658991,9.20046075139975,0.02619012927741778,37.5707904,,126.9811854,,-0.7692708333333333,0.1227888863452625,-0.590478515625,0.15770711573829443,0.17140299479166668,0.14170613872596016,0.21150359570523444,28.958166695364838,81.36558516666666,8.02258345680748,34.192666666666575,0.034221364863344116
2019_12_04_09_32_00_AM,meal,2.0,2.0,1.0,0.0,,,workplace,5.0,6.0,3.0,2.3292969282754736,0.10019829084419879,2.5207785826987767,0.054579305035002385,9.168112608622627,0.032017980614311804,37.5707904,,126.9811854,,-0.8406575520833334,0.08461948034281959,-0.11106770833333333,0.16163352454466606,0.5172688802083333,0.16566413504230015,-0.14724109787330306,132.82305657253258,84.47246000000001,12.98501194486166,34.23099999999988,0.03281493689895007
2019_12_04_10_51_00_AM,work,3.0,0.0,,3.0,3.0,,workplace,7.0,6.0,3.0,0.3284406123531918,0.5142969618727523,4.5384511284160105,0.7087840673261441,8.518727882474794,0.3594871000647895,37.5705885,,126.9814945,,-0.9426432291666667,0.01007569270552546,-0.15636393229166667,0.006093938069422206,0.36920572916666666,0.026562635704013144,-0.5270917400863554,36.165517427612805,81.31041456666668,7.1595488054837295,34.321583333333365,0.047857806004212994
2019_12_04_10_52_00_AM,work,3.0,0.0,,3.0,3.0,,workplace,7.0,6.0,3.0,0.11163004627872329,0.6040981631682443,0.3701058210141115,0.9852952778464003,-7.369600629692048,6.669315641624966,37.5705885,,126.9814945,,-0.8043294270833333,0.08879546322095652,0.021305338541666666,0.09868864492003729,0.5776692708333333,0.20771466473676234,-0.07533479135515649,34.7741717712903,81.22842057142859,7.269731559253428,34.2830000000001,0.025172210220081932
2019_12_04_10_53_00_AM,work,3.0,0.0,,3.0,3.0,,workplace,7.0,6.0,3.0,0.017109814983874577,0.05033524111977133,-0.0014813401314669639,0.07451238192537969,-10.05569276175812,0.032452579032444896,,,,,-0.6633056640625,0.12044988055366655,-0.0925048828125,0.3124236178417554,0.6645182291666667,0.16894522846917215,-0.01367647023411479,59.77001919614931,72.89052649999999,3.0983926968665028,34.35291666666668,0.023920923889370227
2019_12_04_10_54_00_AM,work,3.0,0.0,,3.0,3.0,,workplace,7.0,6.0,3.0,0.4782815131128146,1.0727016453946205,1.411317144687409,1.7703920405272011,-2.0718221244544006,9.383569283403226,37.5705885,,126.9814945,,-0.951953125,0.0837796909018418,-0.05382486979166667,0.01955634596872511,0.332861328125,0.16729904649102822,-0.03310107319658892,27.10216669569044,73.51237302564104,6.992952686529696,34.360666666666695,0.02426262629781659
2019_12_04_10_55_00_AM,work,3.0,0.0,,3.0,3.0,,workplace,7.0,6.0,3.0,0.185424920652852,0.5439842899220183,0.06242407957379591,0.4378144549544678,9.705033427771612,0.2546886282718404,37.5705885,,126.9814945,,-0.9169352213541667,0.059866578396035895,-0.049397786458333336,0.011211134517830321,0.4366943359375,0.13737805965618194,0.041919733486979215,45.20884067662228,72.68377890909093,2.9142508351752294,34.32875000000005,0.01996073551608399
