,Unnamed: 0,E00,E01,E02,Month,Day,study,recreation_etc,travel,meal,household,personal_care,work,hobby,entertainment,recreation_media,communitiy_interaction,socialising,outdoor_act
5,5,5.334040532540882,4.953822867454193,5.066809703491174,10,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,5,0.4006548219011705,0.7207777342127741,0.6564763554143838,10,31,0.0,0.0,-561.0,82.0,0.0,0.0,478.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,-2.701077963998344,-2.77723839270611,-2.7906541781488983,10,31,0.0,0.0,101.0,48.0,0.0,0.0,-167.0,0.0,0.0,16.0,0.0,1.0,0.0
1,1,2.5920008615426724,2.2079252430006875,2.335747670466404,10,31,0.0,0.0,101.0,48.0,0.0,0.0,-167.0,0.0,0.0,16.0,0.0,1.0,0.0
1,1,-0.7538094975668486,-0.4707922925527583,-0.5357930798760719,10,31,0.0,48.0,85.0,50.0,47.0,5.0,-259.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,-1.9937116410695663,-1.5917891006201756,-1.6460059564237923,10,31,0.0,0.0,135.0,0.0,248.0,0.0,-398.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,0.3413799746326305,-0.1926179424753087,-0.1012788509885638,10,31,-445.0,0.0,19.0,0.0,0.0,0.0,294.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1.7705985642502924,1.7769291097714586,1.744211318190608,11,1,0.0,-617.0,0.0,28.0,0.0,6.0,500.0,0.0,0.0,0.0,67.0,0.0,0.0
10,10,3.847847163449444,3.467562088586021,3.597733743056054,11,1,0.0,114.0,206.0,-660.0,0.0,0.0,395.0,0.0,0.0,53.0,0.0,0.0,0.0
4,4,2.2656479611899414,2.143528144098127,2.142717564273738,11,1,0.0,0.0,100.0,-628.0,0.0,0.0,473.0,0.0,0.0,54.0,0.0,0.0,0.0
5,5,1.0429677814588132,1.5011569629861583,1.4804545421718132,11,1,0.0,0.0,100.0,-628.0,0.0,0.0,473.0,0.0,0.0,54.0,0.0,0.0,0.0
8,8,0.8260292226543271,0.9692300007818916,0.9137151767641,11,1,0.0,46.0,119.0,0.0,48.0,35.0,-281.0,0.0,0.0,0.0,0.0,0.0,0.0
12,12,-1.4500244945541851,-1.810799130504364,-1.713821882081973,11,1,22.0,41.0,190.0,55.0,201.0,0.0,-537.0,0.0,0.0,27.0,0.0,0.0,0.0
0,0,-1.6538733750384722,-1.246389345099672,-1.2992087659795857,11,1,0.0,0.0,91.0,177.0,22.0,41.0,-332.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,6.334373810412927,6.017174081727333,6.089289258970624,11,1,0.0,0.0,91.0,177.0,22.0,41.0,-332.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,-1.018399421649221,-1.3462866555852742,-1.2686943511588282,11,1,0.0,22.0,-440.0,0.0,154.0,51.0,211.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,4.746167513120554,5.03509023670037,4.970087600985707,11,1,64.0,64.0,56.0,11.0,0.0,0.0,145.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.9567575944057012,1.0158695245564076,0.9729726305880888,11,1,0.0,0.0,167.0,-651.0,0.0,78.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.510925313873713,2.6158029022575704,2.565472519597435,11,1,0.0,0.0,167.0,-651.0,0.0,78.0,423.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.6221435955592938,0.8427628039440549,0.7799585633126753,11,1,0.0,0.0,80.0,0.0,0.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,0.5186216715245848,0.9066051978507376,0.8494437591701853,11,1,0.0,59.0,226.0,84.0,56.0,0.0,-520.0,0.0,0.0,94.0,0.0,0.0,0.0
2,2,1.84245037338367,1.4752804296000477,1.5768018947677689,11,1,373.0,0.0,32.0,154.0,0.0,0.0,96.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,2.1802731653561978,1.80588720349553,1.937534253617386,11,2,0.0,14.0,204.0,0.0,0.0,0.0,-219.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.380396562743968,0.7439040679244897,0.6830362041272622,11,2,0.0,171.0,0.0,5.0,0.0,0.0,479.0,0.0,0.0,0.0,-663.0,0.0,0.0
5,5,2.2577584105559936,1.6221509793314084,1.5141875462245764,11,2,0.0,0.0,96.0,79.0,37.0,41.0,-290.0,0.0,0.0,16.0,0.0,2.0,18.0
6,6,-2.535053480758748,-2.089662279733133,-2.126496667145929,11,2,0.0,0.0,96.0,79.0,37.0,41.0,-290.0,0.0,0.0,16.0,0.0,2.0,18.0
0,0,-0.3613943858212423,-0.2870777069101251,-0.312164986393455,11,2,59.0,42.0,140.0,192.0,137.0,0.0,-532.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,-0.2877531674591296,-0.6679708325458193,-0.5549839965088381,11,2,0.0,0.0,-310.0,0.0,203.0,29.0,114.0,0.0,0.0,0.0,0.0,0.0,0.0
6,6,-0.3940894506510375,-0.6556403860675033,-0.608540063973777,11,2,0.0,45.0,-378.0,38.0,0.0,0.0,270.0,0.0,0.0,24.0,0.0,0.0,0.0
3,3,2.9781346279741854,2.707082625713994,2.758126568671756,11,2,0.0,0.0,-286.0,0.0,0.0,0.0,285.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,1.062898679056261,1.2928551975419396,1.1912659920087378,11,2,0.0,32.0,45.0,-689.0,0.0,34.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1.3433527810583854,1.6143607499589194,1.5494830154037516,11,2,0.0,32.0,45.0,-689.0,0.0,34.0,577.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,-0.2162531720258158,-0.487305174286007,-0.4362612313282454,11,2,0.0,0.0,192.0,-576.0,44.0,0.0,290.0,0.0,0.0,54.0,0.0,0.0,0.0
1,1,-0.2479214585354441,-1.204088837041155,-1.3502632253449605,11,2,527.0,0.0,19.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,0.2080601290324182,0.8132079657569165,0.515567433906611,11,3,0.0,0.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
3,3,0.0183557760912691,0.1957814702439435,0.1364897660327386,11,3,0.0,-565.0,102.0,152.0,19.0,25.0,158.0,0.0,0.0,94.0,0.0,0.0,0.0
4,4,-2.289726363245194,-2.5338833490822026,-2.493725693517433,11,3,0.0,-565.0,102.0,152.0,19.0,25.0,158.0,0.0,0.0,94.0,0.0,0.0,0.0
7,7,-4.140277264093726,-3.5788464667020605,-3.854503847755169,11,3,0.0,69.0,137.0,69.0,0.0,42.0,296.0,0.0,0.0,88.0,0.0,1.0,-645.0
10,10,5.904866869970576,5.818692218147447,5.807906538703122,11,3,0.0,201.0,20.0,7.0,0.0,0.0,0.0,0.0,0.0,-229.0,0.0,0.0,0.0
7,7,-4.753323896413249,-4.35331101606846,-4.407975791171637,11,3,0.0,55.0,-202.0,146.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,-3.847262547590688,-4.003907865410568,-3.994312705370504,11,3,0.0,314.0,179.0,-600.0,92.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,1.3415201749376848,1.3548597848482302,1.3206928328368974,11,3,0.0,277.0,71.0,202.0,-557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1,4.395499133694457,4.069334291882996,4.146023942866705,11,3,0.0,68.0,45.0,102.0,0.0,0.0,413.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,3.84956153675482,3.605404550917811,3.64556220648258,11,3,0.0,0.0,-628.0,109.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,3,3.4334684592831906,3.340664786434573,3.3316553392772192,11,3,0.0,107.0,367.0,-559.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.8218611211956954,0.354989350402235,0.453686310741503,11,4,0.0,-497.0,41.0,0.0,29.0,58.0,198.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,4.743233890144069,4.611498479321014,4.676377984426722,11,4,0.0,24.0,80.0,16.0,9.0,0.0,-71.0,0.0,0.0,0.0,0.0,22.0,0.0
9,9,-2.543526885373112,-2.633020900304203,-2.6429206889184087,11,4,0.0,24.0,80.0,16.0,9.0,0.0,-71.0,0.0,0.0,0.0,0.0,22.0,0.0
8,8,2.723020286778649,2.9071977521791865,2.847261386696857,11,4,0.0,-203.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0
9,9,-0.119599804040277,0.3302354960009808,0.2969787710080709,11,4,0.0,-203.0,0.0,0.0,0.0,0.0,0.0,202.0,0.0,0.0,0.0,0.0,0.0
5,5,-0.8988547651996299,-1.027475021170588,-0.9638263336496776,11,4,0.0,175.0,14.0,-479.0,103.0,0.0,0.0,181.0,0.0,0.0,0.0,0.0,0.0
8,8,1.3682101940529492,1.8238673144002744,1.797476769186744,11,4,0.0,0.0,-559.0,46.0,63.0,321.0,0.0,0.0,0.0,0.0,0.0,128.0,0.0
1,1,-1.5774601685650254,-1.396654245062393,-1.4562729583886238,11,4,0.0,310.0,23.0,141.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,7,-0.2914896381522567,0.3999133795009726,0.0640672500019263,11,4,0.0,212.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,0.5479368673106535,0.6876784012500679,0.6325910977380005,11,4,0.0,53.0,0.0,0.0,0.0,0.0,301.0,0.0,0.0,0.0,0.0,0.0,0.0
0,0,-3.1181657410695607,-2.7162432006201698,-2.7704600564237865,11,4,0.0,320.0,191.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,0.7210538481953677,0.3702307787848582,0.4607940352997559,11,4,0.0,0.0,75.0,-433.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
