,userId,startDt,endDt,device,sleep_score,total_sleep_time,Class
1,17,2018-11-01 0:01,2018-11-01 8:02,Fitbit,75.4098361,2760,B
96,10,2018-11-11 23:53,2018-11-12 7:29,Fitbit,86.7647059,3540,C
204,22,2018-11-28 1:06,2018-11-28 6:35,Fitbit,100.0,3600,A
38,3,2018-11-12 20:35,2018-11-13 7:25,Fitbit,94.0298507,3780,A
231,27,2018-11-21 0:55,2018-11-21 8:29,Fitbit,85.3333333,3840,B
111,11,2018-11-04 6:21,2018-11-04 12:27,Fitbit,87.8378378,3900,C
295,19,2018-11-21 1:46,2018-11-21 8:12,Fitbit,89.1891892,3960,C
230,6,2018-11-11 23:42,2018-11-12 8:08,Fitbit,85.7142857,4320,B
16,4,2018-11-13 5:00,2018-11-13 13:10,Fitbit,93.6708861,4440,A
6,24,2018-11-17 2:49,2018-11-17 19:46,Fitbit,78.3018868,4980,B
41,3,2018-11-03 1:43,2018-11-03 6:30,Fitbit,87.3786408,5400,C
193,5,2018-11-03 4:36,2018-11-03 4:53,Fitbit,91.7431193,6000,A
48,3,2018-11-11 3:12,2018-11-11 10:54,Fitbit,97.4789916,6960,A
177,7,2018-11-13 0:56,2018-11-13 6:57,Fitbit,87.4551971,7320,C
255,2,2018-11-25 2:49,2018-11-25 11:03,Fitbit,83.625731,8580,B
181,29,2018-11-18 1:30,2018-11-18 7:30,Fitbit,80.0546448,8790,B
249,14,2018-11-02 23:57,2018-11-03 6:17,Fitbit,86.6295265,9330,C
3,24,2018-11-27 0:14,2018-11-27 5:39,Fitbit,98.7421384,9420,A
212,22,2018-11-21 23:41,2018-11-22 6:47,Fitbit,91.5730337,9780,A
252,14,2018-11-07 1:36,2018-11-07 13:48,Fitbit,89.3617021,10080,C
162,30,2018-11-26 1:46,2018-11-26 9:08,Fitbit,84.1191067,10170,B
314,26,2018-11-27 23:11,2018-11-28 8:29,Fitbit,97.1590909,10260,A
278,8,2018-11-02 3:19,2018-11-02 7:35,Fitbit,88.08933,10650,C
251,14,2018-11-05 4:56,2018-11-05 7:53,Fitbit,88.8349515,10980,C
271,28,2018-11-22 1:14,2018-11-22 7:36,Fitbit,81.4889336,12150,B
280,8,2018-11-04 3:38,2018-11-04 7:20,Fitbit,88.6752137,12450,C
194,5,2018-11-04 1:27,2018-11-04 5:38,Fitbit,83.0339321,12480,B
259,2,2018-11-17 0:09,2018-11-17 1:35,Fitbit,91.9739696,12720,A
105,21,2018-11-23 22:35,2018-11-24 7:25,Fitbit,86.437247,12810,C
254,14,2018-11-09 2:15,2018-11-09 5:00,Fitbit,94.3965517,13140,A
257,2,2018-11-27 1:43,2018-11-27 8:16,Fitbit,93.6440678,13260,A
93,10,2018-11-09 1:37,2018-11-09 6:59,Fitbit,81.7343173,13290,B
103,21,2018-11-22 2:40,2018-11-22 9:43,Fitbit,84.7145488,13800,B
53,18,2018-11-19 1:15,2018-11-19 7:31,Fitbit,91.3385827,13920,A
202,5,2018-11-12 1:55,2018-11-12 6:15,Fitbit,85.4779412,13950,B
185,29,2018-11-22 5:50,2018-11-22 13:22,Fitbit,86.3799283,14460,C
