,travel,work,household,personal_care,recreation_etc,meal,study,communitiy_interaction,entertainment,hobby,outdoor_act,Month,Day
0,135.0,-398.0,248.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,31
1,-440.0,211.0,154.0,51.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,11,01
2,-310.0,114.0,203.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,02
3,71.0,0.0,-557.0,0.0,277.0,202.0,0.0,0.0,0.0,0.0,0.0,11,03
4,23.0,0.0,100.0,0.0,310.0,141.0,0.0,0.0,0.0,0.0,0.0,11,04
5,95.0,-557.0,183.0,0.0,0.0,224.0,54.0,0.0,0.0,0.0,0.0,11,05
6,395.0,-483.0,59.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11,06
7,453.0,-650.0,0.0,51.0,77.0,62.0,0.0,0.0,0.0,0.0,0.0,11,07
8,212.0,-403.0,0.0,0.0,0.0,48.0,0.0,55.0,0.0,0.0,0.0,11,08
9,185.0,197.0,0.0,0.0,0.0,128.0,-511.0,0.0,0.0,0.0,0.0,11,09
10,-498.0,0.0,202.0,0.0,133.0,59.0,0.0,0.0,68.0,35.0,0.0,11,10
11,-480.0,0.0,204.0,0.0,141.0,0.0,0.0,0.0,0.0,0.0,134.0,11,11
12,342.0,-598.0,54.0,21.0,293.0,41.0,0.0,0.0,0.0,0.0,0.0,11,12
13,-391.0,118.0,137.0,22.0,44.0,69.0,0.0,0.0,0.0,0.0,0.0,11,13
