,work,recreation_etc,travel,meal,study,recreation_media,Month,Day
0,565.0,77.0,53.0,-665.0,0.0,0.0,10,31
1,145.0,64.0,56.0,11.0,64.0,0.0,11,01
2,270.0,45.0,-378.0,38.0,0.0,24.0,11,02
3,413.0,68.0,45.0,102.0,0.0,0.0,11,03
4,0.0,212.0,0.0,82.0,0.0,0.0,11,04
5,-269.0,35.0,233.0,0.0,0.0,0.0,11,05
6,207.0,93.0,55.0,43.0,56.0,0.0,11,06
7,372.0,122.0,72.0,28.0,0.0,0.0,11,07
8,229.0,85.0,16.0,49.0,66.0,0.0,11,08
9,259.0,96.0,-524.0,54.0,0.0,0.0,11,09
10,0.0,221.0,0.0,68.0,0.0,0.0,11,10
11,303.0,111.0,32.0,23.0,0.0,0.0,11,11
12,313.0,86.0,44.0,13.0,0.0,0.0,11,12
13,231.0,93.0,74.0,41.0,70.0,0.0,11,13
