,work,recreation_etc,travel,meal,personal_care,study,Month,Day
0,-268.0,231.0,21.0,15.0,0.0,0.0,10,31
1,-254.0,70.0,37.0,0.0,78.0,0.0,11,01
2,577.0,32.0,45.0,-689.0,34.0,0.0,11,02
3,298.0,63.0,156.0,54.0,0.0,0.0,11,03
4,0.0,320.0,191.0,50.0,0.0,0.0,11,04
5,494.0,-544.0,49.0,0.0,0.0,0.0,11,05
6,527.0,-668.0,27.0,0.0,0.0,99.0,11,06
7,268.0,69.0,42.0,-395.0,0.0,0.0,11,07
8,-77.0,58.0,0.0,0.0,18.0,0.0,11,08
9,-47.0,36.0,10.0,0.0,0.0,0.0,11,09
10,177.0,107.0,199.0,68.0,5.0,0.0,11,10
11,0.0,154.0,236.0,73.0,83.0,0.0,11,11
12,428.0,249.0,6.0,-684.0,0.0,0.0,11,12
13,-202.0,109.0,14.0,0.0,0.0,0.0,11,13
