,work,meal,travel,recreation_etc,recreation_media,household,personal_care,Month,Day
0,-283.0,191.0,62.0,29.0,0.0,0.0,0.0,10,31
1,-520.0,84.0,226.0,59.0,94.0,56.0,0.0,11,01
2,290.0,-576.0,192.0,0.0,54.0,44.0,0.0,11,02
3,0.0,-559.0,367.0,107.0,0.0,82.0,0.0,11,03
4,0.0,-433.0,75.0,0.0,0.0,0.0,0.0,11,04
5,-532.0,65.0,183.0,153.0,62.0,77.0,0.0,11,05
6,137.0,87.0,-514.0,167.0,18.0,104.0,0.0,11,06
7,317.0,-673.0,421.0,0.0,0.0,0.0,0.0,11,07
8,205.0,289.0,23.0,-662.0,0.0,79.0,5.0,11,08
9,-342.0,22.0,167.0,0.0,0.0,152.0,0.0,11,09
10,0.0,0.0,-338.0,36.0,0.0,0.0,38.0,11,10
11,0.0,0.0,200.0,247.0,0.0,-444.0,0.0,11,11
12,-105.0,0.0,55.0,0.0,0.0,0.0,0.0,11,12
13,-236.0,0.0,237.0,0.0,0.0,33.0,0.0,11,13
