,travel,recreation_etc,personal_care,outdoor_act,work,study,meal,hobby,communitiy_interaction,entertainment,Month,Day
0,168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,16
1,17.0,388.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,18
2,130.0,0.0,47.0,-647.0,256.0,192.0,0.0,0.0,0.0,0.0,11,19
3,246.0,0.0,80.0,0.0,-538.0,0.0,103.0,0.0,0.0,0.0,11,20
4,270.0,0.0,0.0,0.0,219.0,0.0,0.0,18.0,0.0,0.0,11,21
5,35.0,0.0,132.0,0.0,282.0,0.0,-563.0,0.0,0.0,0.0,11,22
6,-165.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.0,0.0,11,23
7,119.0,0.0,126.0,0.0,0.0,0.0,192.0,0.0,0.0,0.0,11,24
8,-555.0,0.0,52.0,0.0,0.0,236.0,0.0,0.0,97.0,157.0,11,25
9,488.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,11,26
10,254.0,0.0,0.0,0.0,165.0,214.0,0.0,0.0,0.0,0.0,11,27
11,460.0,0.0,0.0,0.0,0.0,158.0,-646.0,0.0,0.0,0.0,11,28
