,personal_care,travel,work,meal,household,outdoor_act,study,recreation_etc,entertainment,Month,Day
0,98.0,148.0,-332.0,51.0,4.0,30.0,0.0,0.0,0.0,11,15
1,41.0,468.0,0.0,-683.0,0.0,0.0,296.0,0.0,0.0,11,16
2,-546.0,48.0,0.0,0.0,92.0,47.0,0.0,351.0,0.0,11,17
3,162.0,202.0,0.0,-617.0,0.0,110.0,0.0,46.0,58.0,11,18
4,16.0,107.0,205.0,122.0,0.0,0.0,-399.0,0.0,0.0,11,19
5,53.0,163.0,-335.0,78.0,0.0,0.0,0.0,40.0,0.0,11,20
6,26.0,223.0,76.0,94.0,0.0,0.0,-454.0,143.0,0.0,11,21
7,0.0,276.0,248.0,191.0,0.0,0.0,0.0,-652.0,0.0,11,22
8,0.0,214.0,-397.0,36.0,0.0,10.0,0.0,40.0,0.0,11,23
9,129.0,112.0,0.0,17.0,0.0,112.0,0.0,304.0,0.0,11,24
10,21.0,54.0,0.0,146.0,0.0,0.0,48.0,20.0,0.0,11,25
11,52.0,204.0,0.0,112.0,0.0,101.0,-398.0,0.0,0.0,11,26
12,0.0,-637.0,401.0,67.0,0.0,0.0,0.0,97.0,0.0,11,27
13,55.0,-454.0,126.0,98.0,0.0,0.0,229.0,0.0,0.0,11,28
