,study,recreation_etc,travel,meal,household,personal_care,work,hobby,Month,Day
0,410.0,-547.0,151.0,33.0,0.0,0.0,0.0,0.0,11,15
1,634.0,-628.0,96.0,105.0,0.0,0.0,0.0,0.0,11,16
2,142.0,-297.0,17.0,56.0,22.0,19.0,0.0,0.0,11,17
3,377.0,-544.0,656.0,30.0,21.0,73.0,0.0,0.0,11,18
4,429.0,-689.0,116.0,97.0,0.0,0.0,181.0,0.0,11,19
5,-273.0,42.0,58.0,218.0,0.0,0.0,0.0,0.0,11,20
6,457.0,-634.0,62.0,72.0,420.0,69.0,0.0,192.0,11,22
7,307.0,-552.0,373.0,32.0,0.0,0.0,0.0,0.0,11,23
8,0.0,0.0,285.0,0.0,0.0,0.0,-107.0,0.0,11,24
9,0.0,169.0,300.0,16.0,0.0,72.0,0.0,0.0,11,25
10,398.0,-621.0,61.0,37.0,0.0,0.0,271.0,0.0,11,26
11,-405.0,248.0,99.0,98.0,0.0,0.0,0.0,0.0,11,27
12,-297.0,40.0,99.0,688.0,0.0,0.0,0.0,0.0,11,28
