,work,meal,travel,hobby,study,outdoor_act,entertainment,recreation_etc,household,personal_care,communitiy_interaction,Month,Day
0,272.0,-578.0,37.0,44.0,146.0,39.0,0.0,0.0,0.0,0.0,0.0,11,15
1,-398.0,0.0,33.0,0.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,11,16
2,307.0,100.0,0.0,0.0,0.0,0.0,69.0,0.0,0.0,0.0,0.0,11,17
3,0.0,0.0,0.0,0.0,0.0,0.0,568.0,57.0,0.0,0.0,0.0,11,18
4,420.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,19
5,-61.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,11,20
6,483.0,84.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,21
7,-70.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,11,22
8,57.0,49.0,91.0,0.0,309.0,0.0,0.0,70.0,0.0,-654.0,0.0,11,23
9,250.0,41.0,101.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,11,24
10,92.0,0.0,13.0,0.0,74.0,92.0,0.0,0.0,0.0,0.0,106.0,11,25
11,446.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,11,26
12,240.0,204.0,0.0,0.0,0.0,58.0,0.0,61.0,0.0,50.0,0.0,11,27
13,596.0,-679.0,33.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,11,28
