,recreation_etc,travel,meal,work,study,socialising,personal_care,entertainment,recreation_media,Month,Day
0,-614.0,141.0,107.0,144.0,97.0,0.0,0.0,0.0,0.0,11,15
1,5.0,79.0,400.0,-485.0,0.0,0.0,0.0,0.0,0.0,11,16
2,0.0,90.0,213.0,-304.0,0.0,0.0,0.0,0.0,0.0,11,17
3,68.0,116.0,20.0,-205.0,0.0,0.0,0.0,0.0,0.0,11,18
4,94.0,66.0,108.0,87.0,290.0,0.0,0.0,0.0,0.0,11,19
5,140.0,153.0,96.0,132.0,-450.0,16.0,0.0,0.0,0.0,11,20
6,111.0,262.0,86.0,0.0,-465.0,0.0,5.0,0.0,0.0,11,21
7,23.0,-265.0,39.0,110.0,92.0,0.0,0.0,0.0,0.0,11,22
8,64.0,251.0,111.0,39.0,-558.0,0.0,0.0,92.0,0.0,11,23
9,0.0,161.0,90.0,-192.0,0.0,0.0,0.0,0.0,0.0,11,24
10,17.0,139.0,46.0,-203.0,0.0,0.0,0.0,0.0,0.0,11,25
11,0.0,-488.0,282.0,0.0,196.0,0.0,0.0,0.0,0.0,11,26
12,41.0,99.0,131.0,0.0,-413.0,0.0,0.0,0.0,2.0,11,27
13,-432.0,248.0,21.0,0.0,107.0,0.0,0.0,0.0,19.0,11,28
