,work,household,study,recreation_media,outdoor_act,travel,meal,recreation_etc,communitiy_interaction,personal_care,entertainment,socialising,hobby,Month,Day
0,26.0,94.0,95.0,106.0,53.0,-697.0,58.0,104.0,181.0,0.0,0.0,0.0,0.0,11,15
1,0.0,378.0,0.0,0.0,0.0,21.0,33.0,17.0,-450.0,0.0,0.0,0.0,0.0,11,16
2,0.0,-136.0,13.0,0.0,0.0,0.0,67.0,27.0,95.0,0.0,0.0,0.0,0.0,11,17
3,37.0,135.0,0.0,93.0,0.0,-458.0,81.0,0.0,0.0,9.0,102.0,0.0,0.0,11,18
4,0.0,491.0,0.0,-641.0,27.0,0.0,91.0,22.0,0.0,0.0,0.0,8.0,0.0,11,19
5,0.0,-524.0,0.0,103.0,53.0,0.0,43.0,121.0,185.0,0.0,0.0,18.0,0.0,11,20
6,0.0,149.0,63.0,-623.0,0.0,0.0,29.0,28.0,122.0,0.0,0.0,270.0,0.0,11,21
7,0.0,-535.0,21.0,165.0,72.0,31.0,101.0,22.0,0.0,60.0,0.0,37.0,0.0,11,22
8,0.0,131.0,0.0,101.0,0.0,0.0,0.0,0.0,-241.0,8.0,0.0,0.0,0.0,11,23
9,0.0,-583.0,163.0,196.0,0.0,0.0,55.0,13.0,109.0,24.0,0.0,22.0,0.0,11,24
10,0.0,16.0,0.0,39.0,0.0,153.0,68.0,176.0,-508.0,32.0,0.0,23.0,0.0,11,25
11,0.0,121.0,0.0,0.0,28.0,90.0,33.0,-489.0,189.0,25.0,0.0,2.0,0.0,11,26
12,0.0,15.0,0.0,128.0,0.0,39.0,115.0,-528.0,242.0,36.0,0.0,40.0,0.0,11,27
13,0.0,57.0,0.0,102.0,79.0,78.0,36.0,-583.0,131.0,0.0,0.0,0.0,99.0,11,28
