,study,recreation_etc,travel,meal,household,personal_care,hobby,Month,Day
0,359.0,-704.0,8.0,113.0,88.0,0.0,0.0,11,15
1,-263.0,14.0,171.0,37.0,0.0,40.0,0.0,11,16
2,205.0,139.0,40.0,127.0,0.0,26.0,-538.0,11,17
3,0.0,-443.0,10.0,113.0,0.0,36.0,231.0,11,18
4,376.0,-672.0,175.0,120.0,0.0,0.0,0.0,11,19
5,153.0,199.0,113.0,0.0,0.0,0.0,0.0,11,20
6,-258.0,27.0,208.0,44.0,0.0,0.0,0.0,11,21
7,-201.0,26.0,53.0,75.0,0.0,0.0,96.0,11,22
8,-265.0,92.0,130.0,38.0,0.0,0.0,0.0,11,23
9,0.0,-530.0,9.0,45.0,0.0,44.0,441.0,11,24
10,71.0,-658.0,51.0,112.0,0.0,0.0,260.0,11,25
11,-243.0,7.0,232.0,38.0,0.0,0.0,0.0,11,26
12,-338.0,0.0,53.0,284.0,0.0,0.0,0.0,11,27
13,201.0,145.0,93.0,0.0,0.0,0.0,0.0,11,28
