,recreation_etc,travel,study,meal,socialising,household,personal_care,work,recreation_media,communitiy_interaction,hobby,Month,Day
0,-644.0,101.0,350.0,57.0,9.0,59.0,57.0,26.0,0.0,0.0,0.0,11,15
1,-636.0,82.0,381.0,41.0,0.0,18.0,74.0,0.0,49.0,0.0,0.0,11,16
2,400.0,0.0,0.0,20.0,0.0,6.0,-693.0,101.0,132.0,0.0,0.0,11,17
3,91.0,0.0,0.0,97.0,0.0,62.0,22.0,261.0,45.0,0.0,0.0,11,18
4,191.0,55.0,-314.0,49.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,11,19
5,376.0,91.0,-393.0,31.0,0.0,0.0,0.0,0.0,0.0,44.0,0.0,11,20
6,-680.0,92.0,350.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,185.0,11,21
7,-587.0,100.0,402.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0,99.0,11,22
8,-598.0,78.0,433.0,21.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,11,23
9,202.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,468.0,0.0,0.0,11,24
10,81.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,230.0,0.0,261.0,11,25
11,44.0,221.0,-364.0,30.0,0.0,0.0,53.0,15.0,0.0,0.0,0.0,11,26
12,403.0,93.0,0.0,-689.0,0.0,0.0,11.0,181.0,0.0,0.0,0.0,11,27
13,-603.0,148.0,426.0,11.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,11,28
