,recreation_etc,study,meal,socialising,travel,hobby,work,household,entertainment,recreation_media,Month,Day
0,-662.0,198.0,109.0,116.0,64.0,18.0,0.0,0.0,0.0,0.0,11,15
1,0.0,-418.0,312.0,0.0,105.0,13.0,0.0,0.0,0.0,0.0,11,16
2,115.0,0.0,0.0,0.0,56.0,0.0,180.0,0.0,0.0,0.0,11,17
3,-602.0,0.0,36.0,0.0,292.0,0.0,0.0,72.0,0.0,0.0,11,18
4,41.0,-262.0,209.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,11,19
5,85.0,-266.0,113.0,0.0,7.0,103.0,0.0,0.0,0.0,0.0,11,20
6,0.0,40.0,61.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,11,21
7,63.0,-270.0,24.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,11,22
8,0.0,-428.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,23
9,160.0,0.0,134.0,0.0,121.0,0.0,0.0,0.0,152.0,0.0,11,24
10,69.0,0.0,32.0,0.0,284.0,109.0,0.0,64.0,0.0,109.0,11,25
11,0.0,-506.0,121.0,0.0,174.0,0.0,0.0,0.0,0.0,0.0,11,26
12,15.0,-505.0,30.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,11,27
13,43.0,52.0,30.0,0.0,0.0,111.0,0.0,103.0,0.0,0.0,11,28
