,recreation_etc,travel,meal,work,recreation_media,household,study,personal_care,hobby,outdoor_act,Month,Day
0,-358.0,27.0,60.0,244.0,0.0,0.0,0.0,0.0,0.0,0.0,11,15
1,185.0,203.0,20.0,11.0,-284.0,34.0,0.0,0.0,0.0,0.0,11,16
2,-513.0,29.0,41.0,75.0,24.0,0.0,338.0,0.0,0.0,0.0,11,17
3,40.0,23.0,0.0,194.0,0.0,0.0,0.0,0.0,0.0,0.0,11,18
4,38.0,126.0,133.0,0.0,0.0,0.0,290.0,0.0,0.0,0.0,11,19
5,125.0,138.0,70.0,0.0,0.0,0.0,-354.0,0.0,0.0,0.0,11,20
6,163.0,135.0,-695.0,248.0,0.0,0.0,152.0,0.0,0.0,0.0,11,21
7,-561.0,125.0,17.0,255.0,0.0,0.0,91.0,10.0,0.0,0.0,11,22
8,0.0,187.0,115.0,-544.0,0.0,0.0,114.0,0.0,91.0,0.0,11,23
9,193.0,43.0,-633.0,336.0,0.0,0.0,0.0,0.0,0.0,0.0,11,24
10,57.0,33.0,63.0,0.0,24.0,44.0,0.0,0.0,0.0,179.0,11,25
11,67.0,29.0,45.0,210.0,-532.0,0.0,160.0,20.0,0.0,0.0,11,26
12,105.0,122.0,145.0,82.0,0.0,0.0,-519.0,33.0,30.0,0.0,11,27
13,-485.0,51.0,75.0,146.0,32.0,0.0,180.0,0.0,0.0,0.0,11,28
