,travel,recreation_etc,study,meal,hobby,work,personal_care,socialising,entertainment,communitiy_interaction,household,Month,Day
0,180.0,166.0,-555.0,87.0,33.0,34.0,48.0,12.0,0.0,0.0,0.0,11,15
1,260.0,248.0,0.0,82.0,0.0,-678.0,31.0,8.0,48.0,0.0,0.0,11,16
2,72.0,249.0,0.0,-602.0,0.0,73.0,3.0,0.0,0.0,208.0,0.0,11,17
3,115.0,340.0,0.0,40.0,0.0,0.0,-692.0,69.0,0.0,127.0,0.0,11,18
4,122.0,132.0,290.0,42.0,0.0,0.0,-587.0,0.0,0.0,0.0,0.0,11,19
5,-533.0,119.0,259.0,141.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,11,20
6,130.0,-501.0,221.0,66.0,0.0,0.0,83.0,0.0,0.0,0.0,0.0,11,21
7,246.0,117.0,194.0,-570.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,11,22
8,117.0,-467.0,0.0,101.0,0.0,0.0,136.0,0.0,0.0,0.0,112.0,11,23
9,136.0,80.0,0.0,67.0,68.0,0.0,54.0,0.0,0.0,-415.0,0.0,11,24
10,-645.0,163.0,0.0,103.0,0.0,0.0,110.0,0.0,31.0,237.0,0.0,11,25
11,119.0,158.0,327.0,-638.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,11,26
12,189.0,180.0,186.0,-585.0,0.0,14.0,15.0,0.0,0.0,0.0,0.0,11,27
13,45.0,-283.0,0.0,75.0,64.0,0.0,59.0,0.0,0.0,0.0,39.0,11,28
