,travel,household,recreation_etc,personal_care,study,meal,work,outdoor_act,communitiy_interaction,entertainment,Month,Day
0,316.0,-661.0,140.0,23.0,120.0,46.0,19.0,0.0,0.0,0.0,11,15
1,-492.0,0.0,189.0,0.0,78.0,0.0,333.0,0.0,0.0,0.0,11,16
2,113.0,0.0,-467.0,0.0,0.0,239.0,0.0,147.0,0.0,0.0,11,17
3,18.0,342.0,0.0,0.0,0.0,90.0,60.0,0.0,-511.0,0.0,11,18
4,173.0,-584.0,16.0,35.0,0.0,66.0,464.0,0.0,0.0,0.0,11,19
5,148.0,32.0,0.0,8.0,272.0,40.0,-490.0,0.0,0.0,0.0,11,20
6,124.0,23.0,51.0,74.0,114.0,49.0,-498.0,0.0,62.0,0.0,11,21
7,99.0,14.0,47.0,0.0,86.0,32.0,-265.0,0.0,0.0,0.0,11,22
8,111.0,0.0,34.0,20.0,-567.0,0.0,401.0,0.0,0.0,0.0,11,23
9,184.0,-642.0,64.0,16.0,0.0,178.0,127.0,0.0,0.0,17.0,11,24
10,23.0,125.0,314.0,13.0,0.0,117.0,0.0,0.0,-532.0,0.0,11,25
11,324.0,80.0,189.0,0.0,0.0,43.0,0.0,0.0,0.0,0.0,11,26
12,121.0,25.0,61.0,0.0,-507.0,79.0,220.0,0.0,0.0,0.0,11,27
13,148.0,83.0,0.0,20.0,99.0,132.0,-594.0,0.0,73.0,0.0,11,28
