,work,meal,travel,study,recreation_etc,household,hobby,Month,Day
0,-507.0,153.0,79.0,272.0,0.0,0.0,0.0,11,15
1,0.0,0.0,125.0,175.0,-308.0,0.0,0.0,11,16
2,0.0,0.0,146.0,0.0,337.0,0.0,0.0,11,17
3,-483.0,0.0,57.0,287.0,138.0,0.0,0.0,11,18
4,-366.0,185.0,166.0,0.0,0.0,0.0,0.0,11,19
5,291.0,0.0,10.0,-423.0,121.0,0.0,0.0,11,20
6,70.0,0.0,0.0,-691.0,0.0,570.0,0.0,11,21
7,114.0,0.0,251.0,0.0,0.0,0.0,0.0,11,22
8,301.0,0.0,83.0,140.0,0.0,0.0,0.0,11,23
9,0.0,0.0,126.0,0.0,55.0,0.0,0.0,11,24
10,301.0,30.0,0.0,0.0,288.0,0.0,0.0,11,25
11,0.0,0.0,356.0,13.0,109.0,0.0,61.0,11,26
12,0.0,0.0,0.0,121.0,0.0,0.0,0.0,11,27
13,164.0,0.0,146.0,0.0,0.0,0.0,0.0,11,28
