,travel,work,meal,recreation_etc,hobby,entertainment,recreation_media,study,personal_care,household,communitiy_interaction,socialising,Month,Day
0,-339.0,46.0,109.0,131.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,15
1,145.0,-319.0,20.0,0.0,0.0,161.0,0.0,0.0,0.0,0.0,0.0,0.0,11,16
2,81.0,0.0,45.0,98.0,-570.0,75.0,125.0,0.0,0.0,0.0,0.0,0.0,11,17
3,0.0,0.0,0.0,0.0,270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,18
4,145.0,382.0,0.0,98.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11,19
5,0.0,327.0,0.0,207.0,0.0,0.0,0.0,60.0,113.0,0.0,0.0,0.0,11,20
6,0.0,64.0,-648.0,0.0,180.0,31.0,0.0,327.0,0.0,45.0,0.0,0.0,11,22
7,0.0,0.0,0.0,-198.0,106.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,11,25
8,0.0,286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.0,0.0,11,26
9,0.0,160.0,-621.0,0.0,0.0,125.0,0.0,232.0,103.0,0.0,0.0,0.0,11,27
10,0.0,217.0,0.0,0.0,0.0,0.0,0.0,-460.0,71.0,0.0,77.0,94.0,11,28
