,travel,study,meal,work,recreation_etc,recreation_media,hobby,household,personal_care,socialising,communitiy_interaction,Month,Day
0,167.0,-534.0,28.0,129.0,181.0,0.0,0.0,0.0,0.0,0.0,0.0,11,15
1,-543.0,0.0,21.0,81.0,64.0,156.0,242.0,0.0,0.0,0.0,0.0,11,16
2,427.0,-588.0,126.0,40.0,9.0,42.0,0.0,13.0,0.0,0.0,0.0,11,17
3,38.0,0.0,138.0,362.0,-490.0,31.0,0.0,0.0,13.0,0.0,0.0,11,18
4,352.0,0.0,85.0,57.0,47.0,28.0,0.0,51.0,0.0,-597.0,0.0,11,19
5,84.0,400.0,-624.0,55.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,11,20
6,162.0,94.0,19.0,98.0,2.0,-527.0,0.0,117.0,34.0,0.0,0.0,11,21
7,141.0,-476.0,130.0,187.0,61.0,0.0,32.0,0.0,3.0,0.0,12.0,11,22
8,175.0,168.0,89.0,52.0,-624.0,0.0,33.0,0.0,23.0,0.0,49.0,11,23
9,397.0,103.0,44.0,0.0,89.0,0.0,0.0,0.0,0.0,0.0,0.0,11,24
10,369.0,-537.0,60.0,179.0,2.0,0.0,0.0,0.0,0.0,0.0,29.0,11,25
11,307.0,157.0,0.0,-553.0,36.0,59.0,19.0,9.0,0.0,0.0,48.0,11,26
12,131.0,-307.0,173.0,89.0,61.0,0.0,0.0,0.0,20.0,0.0,0.0,11,27
13,248.0,0.0,29.0,61.0,153.0,0.0,0.0,27.0,-646.0,0.0,92.0,11,28
