,work,travel,meal,recreation_etc,outdoor_act,household,personal_care,study,hobby,Month,Day
0,478.0,-561.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,10,31
1,522.0,-619.0,36.0,37.0,0.0,0.0,0.0,0.0,0.0,11,01
2,-219.0,204.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,11,02
3,0.0,33.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,11,03
4,198.0,41.0,0.0,-497.0,0.0,29.0,58.0,0.0,0.0,11,04
5,-429.0,166.0,7.0,95.0,0.0,91.0,0.0,0.0,0.0,11,06
6,156.0,76.0,-629.0,285.0,0.0,0.0,0.0,75.0,0.0,11,07
7,-513.0,232.0,48.0,185.0,0.0,0.0,0.0,0.0,0.0,11,08
8,-374.0,63.0,38.0,89.0,0.0,0.0,0.0,0.0,183.0,11,09
9,411.0,27.0,229.0,0.0,0.0,0.0,0.0,0.0,0.0,11,10
10,165.0,135.0,55.0,210.0,0.0,-673.0,0.0,0.0,0.0,11,11
11,329.0,-549.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,11,12
12,267.0,0.0,-602.0,0.0,0.0,0.0,0.0,0.0,0.0,11,13
