,work,travel,recreation_etc,meal,recreation_media,socialising,hobby,outdoor_act,personal_care,household,Month,Day
0,47.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,30
1,-167.0,101.0,0.0,48.0,16.0,1.0,0.0,0.0,0.0,0.0,10,31
2,395.0,206.0,114.0,-660.0,53.0,0.0,0.0,0.0,0.0,0.0,11,01
3,369.0,234.0,41.0,-691.0,137.0,10.0,46.0,0.0,0.0,0.0,11,02
4,296.0,137.0,69.0,69.0,88.0,1.0,0.0,-645.0,42.0,0.0,11,03
5,-71.0,80.0,24.0,16.0,0.0,22.0,0.0,0.0,0.0,9.0,11,04
6,-188.0,82.0,39.0,89.0,0.0,8.0,0.0,0.0,0.0,0.0,11,05
7,-118.0,84.0,16.0,15.0,0.0,2.0,0.0,0.0,0.0,0.0,11,06
8,390.0,163.0,50.0,-659.0,88.0,8.0,0.0,0.0,0.0,0.0,11,07
9,488.0,82.0,0.0,-664.0,86.0,7.0,0.0,0.0,0.0,0.0,11,08
10,-225.0,116.0,16.0,71.0,17.0,4.0,0.0,0.0,0.0,0.0,11,09
11,40.0,-649.0,180.0,133.0,154.0,0.0,0.0,0.0,26.0,183.0,11,10
12,9.0,91.0,40.0,169.0,304.0,0.0,0.0,6.0,16.0,-636.0,11,11
13,492.0,220.0,4.0,-578.0,0.0,0.0,0.0,0.0,0.0,6.0,11,12
14,-270.0,108.0,29.0,48.0,32.0,7.0,0.0,0.0,0.0,0.0,11,13
