,travel,work,meal,recreation_etc,recreation_media,hobby,study,communitiy_interaction,Month,Day
0,116.0,415.0,-692.0,148.0,0.0,0.0,0.0,0.0,10,31
1,100.0,473.0,-628.0,0.0,54.0,0.0,0.0,0.0,11,01
2,89.0,225.0,-654.0,72.0,267.0,0.0,0.0,0.0,11,02
3,20.0,0.0,7.0,201.0,-229.0,0.0,0.0,0.0,11,03
4,0.0,0.0,0.0,-203.0,0.0,202.0,0.0,0.0,11,04
5,164.0,0.0,-646.0,388.0,0.0,93.0,0.0,0.0,11,05
6,1.0,0.0,170.0,-220.0,0.0,0.0,0.0,0.0,11,06
7,69.0,0.0,22.0,0.0,-142.0,0.0,50.0,0.0,11,07
8,0.0,0.0,13.0,0.0,-179.0,0.0,0.0,0.0,11,08
9,0.0,0.0,0.0,0.0,578.0,0.0,0.0,0.0,11,09
10,0.0,0.0,27.0,0.0,-147.0,0.0,0.0,0.0,11,10
11,0.0,0.0,14.0,0.0,-374.0,191.0,0.0,168.0,11,11
12,0.0,0.0,34.0,0.0,-161.0,126.0,0.0,0.0,11,12
13,-547.0,0.0,75.0,0.0,260.0,211.0,0.0,0.0,11,13
