,household,travel,work,meal,recreation_etc,personal_care,outdoor_act,recreation_media,socialising,entertainment,communitiy_interaction,Month,Day
0,47.0,85.0,-259.0,50.0,48.0,5.0,0.0,0.0,0.0,0.0,0.0,10,31
1,48.0,119.0,-281.0,0.0,46.0,35.0,0.0,0.0,0.0,0.0,0.0,11,01
2,37.0,96.0,-290.0,79.0,0.0,41.0,18.0,16.0,2.0,0.0,0.0,11,02
3,226.0,179.0,0.0,78.0,7.0,-593.0,0.0,119.0,0.0,0.0,0.0,11,03
4,-656.0,201.0,0.0,62.0,92.0,46.0,52.0,115.0,0.0,77.0,0.0,11,04
5,58.0,112.0,-256.0,24.0,33.0,28.0,0.0,0.0,0.0,0.0,0.0,11,05
6,30.0,123.0,-280.0,71.0,0.0,15.0,40.0,0.0,0.0,0.0,0.0,11,06
7,36.0,110.0,-268.0,13.0,32.0,31.0,0.0,44.0,0.0,0.0,0.0,11,07
8,41.0,163.0,-271.0,20.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,11,08
9,58.0,115.0,-295.0,42.0,0.0,45.0,0.0,9.0,0.0,0.0,0.0,11,09
10,-403.0,147.0,0.0,132.0,34.0,0.0,0.0,69.0,0.0,0.0,20.0,11,10
11,222.0,72.0,0.0,98.0,79.0,52.0,0.0,-537.0,0.0,0.0,0.0,11,11
12,54.0,99.0,-273.0,68.0,0.0,51.0,0.0,0.0,0.0,0.0,0.0,11,12
13,35.0,102.0,-239.0,54.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,11,13
