,E00,E01,E02,Month,Day,household,travel,work,recreation_etc,hobby,meal,recreation_media,study,socialising
0,-0.3613943858212423,-0.2870777069101251,-0.312164986393455,11,2,137.0,140.0,-532.0,42.0,0.0,192.0,0.0,59.0,0.0
1,-0.9495305384096326,-0.719204342944721,-0.7825886261105097,11,5,89.0,237.0,-398.0,0.0,0.0,71.0,0.0,0.0,0.0
2,-1.458772829628998,-1.193864629364569,-1.258621243818908,11,11,214.0,29.0,26.0,94.0,-503.0,112.0,0.0,0.0,0.0
3,-3.918868108606972,-3.512310957760988,-3.4785494096620937,11,11,214.0,29.0,26.0,94.0,-503.0,112.0,0.0,0.0,0.0
4,-2.304929440716819,-2.3977331135654367,-2.4067425607227904,11,6,87.0,-521.0,128.0,252.0,25.0,28.0,0.0,0.0,0.0
5,-0.8988547651996299,-1.027475021170588,-0.9638263336496776,11,4,103.0,14.0,0.0,175.0,181.0,-479.0,0.0,0.0,0.0
6,-2.076089089539394,-1.6433939304956624,-1.687450018316838,11,8,0.0,48.0,198.0,16.0,0.0,-507.0,0.0,244.0,0.0
7,-4.753323896413249,-4.35331101606846,-4.407975791171637,11,3,0.0,-202.0,0.0,55.0,0.0,146.0,0.0,0.0,0.0
8,3.4474662630967003,3.296980939675094,3.304657605833228,11,10,256.0,8.0,0.0,-562.0,104.0,145.0,0.0,48.0,0.0
9,-4.183752905193884,-3.806518363789692,-3.8655061425471473,11,13,73.0,102.0,294.0,29.0,0.0,-616.0,117.0,0.0,0.0
10,0.9128961058462436,0.7875749754693544,0.7876943928750819,11,7,5.0,131.0,-398.0,26.0,38.0,104.0,0.0,0.0,13.0
11,3.620302923407508,3.567809186134284,3.548428185332483,11,7,5.0,131.0,-398.0,26.0,38.0,104.0,0.0,0.0,13.0
12,-1.4500244945541851,-1.810799130504364,-1.713821882081973,11,1,201.0,190.0,-537.0,41.0,0.0,55.0,27.0,22.0,0.0
