,household,travel,work,recreation_etc,hobby,meal,recreation_media,study,socialising,Month,Day
0,30.0,141.0,234.0,51.0,-603.0,37.0,0.0,0.0,0.0,10,31
1,201.0,190.0,-537.0,41.0,0.0,55.0,27.0,22.0,0.0,11,01
2,137.0,140.0,-532.0,42.0,0.0,192.0,0.0,59.0,0.0,11,02
3,0.0,-202.0,0.0,55.0,0.0,146.0,0.0,0.0,0.0,11,03
4,103.0,14.0,0.0,175.0,181.0,-479.0,0.0,0.0,0.0,11,04
5,89.0,237.0,-398.0,0.0,0.0,71.0,0.0,0.0,0.0,11,05
6,87.0,-521.0,128.0,252.0,25.0,28.0,0.0,0.0,0.0,11,06
7,5.0,131.0,-398.0,26.0,38.0,104.0,0.0,0.0,13.0,11,07
8,0.0,48.0,198.0,16.0,0.0,-507.0,0.0,244.0,0.0,11,08
9,44.0,156.0,376.0,0.0,16.0,89.0,0.0,-682.0,0.0,11,09
10,256.0,8.0,0.0,-562.0,104.0,145.0,0.0,48.0,0.0,11,10
11,214.0,29.0,26.0,94.0,-503.0,112.0,0.0,0.0,0.0,11,11
12,39.0,250.0,-439.0,0.0,0.0,55.0,0.0,94.0,0.0,11,12
13,73.0,102.0,294.0,29.0,0.0,-616.0,117.0,0.0,0.0,11,13
