,household,meal,travel,work,personal_care,communitiy_interaction,recreation_etc,socialising,outdoor_act,study,Month,Day
0,108.0,54.0,165.0,-313.0,0.0,0.0,0.0,0.0,0.0,0.0,10,31
1,22.0,177.0,91.0,-332.0,41.0,0.0,0.0,0.0,0.0,0.0,11,01
2,70.0,74.0,141.0,271.0,51.0,-634.0,26.0,0.0,0.0,0.0,11,02
3,92.0,-600.0,179.0,0.0,14.0,0.0,314.0,0.0,0.0,0.0,11,03
4,63.0,46.0,-559.0,0.0,321.0,0.0,0.0,128.0,0.0,0.0,11,04
5,12.0,56.0,183.0,-291.0,39.0,0.0,0.0,0.0,0.0,0.0,11,05
6,5.0,144.0,127.0,471.0,-663.0,0.0,0.0,0.0,0.0,0.0,11,06
7,61.0,109.0,251.0,-390.0,46.0,0.0,24.0,0.0,0.0,0.0,11,07
8,148.0,159.0,-509.0,45.0,0.0,0.0,88.0,68.0,0.0,0.0,11,08
9,24.0,102.0,156.0,-431.0,36.0,0.0,21.0,27.0,4.0,0.0,11,09
10,-365.0,99.0,12.0,0.0,75.0,0.0,178.0,0.0,0.0,0.0,11,10
11,123.0,51.0,-657.0,0.0,84.0,54.0,115.0,53.0,243.0,40.0,11,11
12,100.0,148.0,-598.0,331.0,70.0,0.0,0.0,0.0,0.0,0.0,11,12
13,91.0,78.0,-505.0,265.0,67.0,0.0,0.0,0.0,0.0,0.0,11,13
