,E00,E01,E02,Month,Day,study,recreation_etc,travel,meal,household,personal_care,work,hobby
0,1.4397031989723672,1.2531190929414606,1.2724441566713978,11,25,0.0,169.0,300.0,16.0,0.0,72.0,0.0,0.0
1,-3.9778615922469953,-4.131433750976228,-4.122799156936949,11,18,377.0,-544.0,656.0,30.0,21.0,73.0,0.0,0.0
2,5.369198605445817,5.008423969495638,5.105401217918029,11,23,307.0,-552.0,373.0,32.0,0.0,0.0,0.0,0.0
3,-2.7572763518046344,-3.108099421215144,-3.017536164700246,11,27,-405.0,248.0,99.0,98.0,0.0,0.0,0.0,0.0
4,-0.7462409998740185,-0.781605091684952,-0.8050873482493159,11,20,-273.0,42.0,58.0,218.0,0.0,0.0,0.0,0.0
5,-1.06030772009521,-0.9449260690907976,-0.996774179183234,11,28,-297.0,40.0,99.0,688.0,0.0,0.0,0.0,0.0
6,-2.745684871625386,-2.6971544242117886,-2.738146823836118,11,17,142.0,-297.0,17.0,56.0,22.0,19.0,0.0,0.0
7,-0.2568661353969759,-0.6333423240705685,-0.5241488868147144,11,26,398.0,-621.0,61.0,37.0,0.0,0.0,271.0,0.0
8,-3.265843380758753,-2.820452179733138,-2.857286567145934,11,16,634.0,-628.0,96.0,105.0,0.0,0.0,0.0,0.0
9,-4.211984070119044,-4.503195311076709,-4.443379749264025,11,24,0.0,0.0,285.0,0.0,0.0,0.0,-107.0,0.0
10,-0.5139466934005839,-0.7941700465058261,-0.7392076074650902,11,19,429.0,-689.0,116.0,97.0,0.0,0.0,181.0,0.0
