,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,2018_10_31_10_59,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,0.2998838223689795,0.3388586321954087,10.575437179115363,-0.6888020833333334,-0.343798828125,0.4252034505208333,
1,1,1,4,2018_10_31_11_00,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2309184740100825,0.1832730566183629,10.61538799720043,-0.5934161672746222,-0.1859692548202188,0.5614089369463262,
2,2,2,8,2018_10_31_11_01,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2418023115428136,0.176123211058196,10.61633347817573,-0.7031005859375,-0.0030436197916666,0.7287434895833333,
3,3,3,12,2018_10_31_11_02,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2486403923499458,0.1789672467849925,10.607374204311308,-0.6583984375,-0.1376627604166666,0.6089029947916667,
4,4,4,16,2018_10_31_11_03,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2937468328835393,0.204067488865059,10.610647809350503,-0.5164306640625,-0.1402262369791666,0.7928629557291667,
5,5,5,20,2018_10_31_11_04,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2605754277056561,0.1805498713760473,10.608420684667031,-0.5900960286458333,-0.1626708984375,0.6667805989583333,
6,6,6,24,2018_10_31_11_05,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2628125666293426,0.1805651686825287,10.600253284333698,-0.6486165364583333,-0.0268391927083333,0.7652180989583334,
7,7,7,28,2018_10_31_11_06,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2685071750593537,0.1187609842190377,10.607993563829789,-0.8879964192708333,-0.0366048177083333,0.486376953125,
8,8,8,32,2018_10_31_11_07,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2670909725798345,0.1148251093822973,10.6093472117647,-0.8655110677083333,-0.0333658854166666,0.5313151041666667,
9,9,9,36,2018_10_31_11_08,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2412486643728992,0.1082002221139978,10.608023067973136,-0.7769694010416667,-0.0344645182291666,0.6329752604166666,
10,10,10,40,2018_10_31_11_09,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2039709687273226,0.1041008554465846,10.615232458566604,-0.694384765625,-0.0318929036458333,0.7314046223958334,
11,11,11,44,2018_10_31_11_10,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.204340957253078,0.1046612005011199,10.615581037793932,-0.2651448567708333,-0.081494140625,0.6737386067708333,
12,12,12,48,2018_10_31_11_11,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2011665625083977,0.1041732443799554,10.614827645296746,-0.5632897993746743,-0.2856142522146951,0.6699289994788953,
13,13,13,52,2018_10_31_11_12,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2012228649356091,0.105090172893617,10.614425483202671,-0.6136067708333334,-0.0470052083333333,0.7963785807291667,
14,14,14,56,2018_10_31_11_13,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2001236235386323,0.1074629259647259,10.611854326707704,-0.64482421875,-0.0468587239583333,0.7727783203125,
15,15,15,60,2018_10_31_11_14,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2006091803469486,0.1080324904135424,10.611376277280357,-0.6529215494791667,-0.0493896484375,0.764990234375,
16,16,16,64,2018_10_31_11_15,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2017801553105759,0.1065614030408508,10.60936927923895,0.6716959635416667,-0.0176513671875,0.4298421223958333,
17,17,17,68,2018_10_31_11_16,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2029521593896966,0.1045110602032477,10.612127795072787,-0.1878092447916666,-0.3456461588541666,0.7805338541666667,
18,18,18,72,2018_10_31_11_17,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2017533594571895,0.1047258928931171,10.610422348069394,-0.7552571614583333,-0.0967936197916666,0.6657552083333333,
19,19,19,76,2018_10_31_11_18,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2043808304286508,0.1073272145617599,10.602302609813874,-0.7510172526041666,-0.0857828776041666,0.67236328125,
20,20,20,80,2018_10_31_11_19,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.2003193420940637,0.1083664490593506,10.60787024104144,-0.7759602864583334,-0.080419921875,0.6395589192708333,
21,21,21,84,2018_10_31_11_20,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1992522735862248,0.1074012611993285,10.607199970324722,-0.5382893880208334,-0.1229736328125,0.7050455729166667,
22,22,22,88,2018_10_31_11_21,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1979599944568853,0.1088463616338187,10.606634257558795,-0.6740559895833333,-0.0892985026041666,0.7399983723958333,
23,23,23,92,2018_10_31_11_22,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1989144579283292,0.108594340533035,10.605264231242996,0.0073811848958333,-0.2713297526041666,0.6598225911458333,
24,24,24,93,2018_10_31_11_23,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1984372261394166,0.1073395964195969,10.603741391657326,-0.4705331552892131,-0.3300058624283481,0.7470362167795727,
25,25,25,94,2018_10_31_11_24,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1990297441108607,0.108320870739082,10.60373334742442,-0.6543131510416667,-0.0312662760416666,0.7667317708333333,
26,26,26,95,2018_10_31_11_25,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1978482424504181,0.1087893065379276,10.602686340616232,-0.6215738932291667,-0.0538330078125,0.7666178385416667,
27,27,27,96,2018_10_31_11_26,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1980752808236263,0.1084495623034716,10.607234830067174,-0.6109456380208333,-0.0366861979166666,0.7987141927083333,
28,28,28,97,2018_10_31_11_27,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.196957271826986,0.1093664906606944,10.602714518477027,-0.6003173828125,-0.1440185546875,0.729638671875,
29,29,29,98,2018_10_31_11_28,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1950376207939512,0.1108303587760359,10.600223805711083,-0.5658772786458334,-0.0699544270833333,0.7669514973958333,
30,30,30,99,2018_10_31_11_29,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1940590277267612,0.1116480870851066,10.603366024636063,-0.6264892578125,-0.0489420572916666,0.7820882161458333,
31,31,31,100,2018_10_31_11_30,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.19426278961366,0.111077017694849,10.599920833986577,-0.6270670572916667,-0.048974609375,0.7818440755208333,
32,32,32,101,2018_10_31_11_32,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.1972361037681957,0.1055834910240763,10.607283090425526,-0.6262613932291666,-0.0518147786458333,0.782666015625,
33,33,33,102,2018_10_31_11_34,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,-0.201399816389698,0.1042080986048156,10.58938153348264,-0.0340346534653465,0.0212675872850442,0.3017115033871808,
34,34,34,103,2018_10_31_11_37,work,3.0,0.0,,0.0,,,workplace,4.0,4.0,3.0,,,,-0.7092573924731183,0.3738239247311828,-0.0399305555555555,
35,35,35,104,2018_10_31_11_39,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,3.336581472718364,-2.6450888329099635,5.389194653149532,-0.550341796875,0.7003743489583333,0.1381022135416666,
36,36,36,105,2018_10_31_11_40,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,0.8663283423253055,6.318158891894183,4.403327020869542,-0.6268880208333333,0.6185546875,0.0199300130208333,
37,37,37,106,2018_10_31_11_41,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-0.1049666265146226,9.565218052268904,1.3939397732686851,-0.4375,0.4776657764460656,0.0938232803543512,
38,38,38,107,2018_10_31_11_42,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,0.0,1.1830975854456904,9.709882066797336,1.2713492532220052,-0.579736328125,0.5735107421875,-0.0731201171875,
39,39,39,108,2018_10_31_11_43,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,-0.0629708611817363,8.091714344053115,2.552207611353224,-0.6132649739583333,0.5700927734375,-0.0982177734375,
40,40,40,109,2018_10_31_11_44,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,4.0,-2.4322247201459137,2.450973502769315,9.28351439345296,-0.546435546875,0.7158040364583333,-0.1912272135416666,
41,41,41,110,2018_10_31_11_45,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-7.459707824494964,1.673836538897315,3.3806114616489342,-0.8944173177083333,0.2490804036458333,-0.183984375,
42,42,42,111,2018_10_31_11_46,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,-0.3760719780097417,1.7112456083423295,10.178380150951869,-0.6794677734375,-0.148828125,-0.5990315755208333,
43,43,43,112,2018_10_31_11_47,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-1.499325252216123,5.25461527900707,5.328984962703264,-0.76533203125,0.1771158854166666,0.4229166666666666,
44,44,44,113,2018_10_31_11_48,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-1.4234266392868966,9.43083821528555,1.5908960994926653,-0.7036865234375,0.28994140625,0.2223225911458333,
45,45,45,114,2018_10_31_11_49,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,4.0,1.4580245726097487,9.7081995217367,1.009290147637088,-0.4276204427083333,0.8808919270833333,-0.1345865885416666,
46,46,46,115,2018_10_31_11_50,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,1.378427443278501,9.7094504087906,0.8502753990324191,-0.36044921875,0.9208089192708332,-0.1573649088541666,
47,47,47,116,2018_10_31_11_51,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,1.7386301313013417,9.6626790157335,0.8938241311252533,-0.3710286458333333,0.9150390625,-0.157275390625,
48,48,48,117,2018_10_31_11_52,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,-0.8271873036825321,3.7567142676220535,8.559832731735712,-0.7703312272016676,-0.0693883533090151,-0.5850214955706097,
49,49,49,118,2018_10_31_11_53,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,-1.2161285211139374,3.528128175895249,8.806860609189712,-0.7763590494791667,-0.1491373697916666,-0.5894612630208333,
50,50,50,119,2018_10_31_11_54,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,4.0,-0.0436157601764835,9.703747800111987,1.5515888160488245,-0.6475911458333333,0.2595052083333333,0.351123046875,
51,51,51,120,2018_10_31_11_55,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,1.0,-0.5345923765949577,9.263540562352922,-1.2289034927466662,-0.9115152994791668,-0.0241943359375,0.1409505208333333,
52,52,52,121,2018_10_31_11_56,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,4.0,-1.3405974535290044,8.931444666293402,-2.897878201170216,-0.8901529947916667,-0.1548665364583333,0.424462890625,
53,53,53,122,2018_10_31_11_57,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,4.0,-1.5350237877116486,9.141734940537496,-2.218356560744677,-0.779833984375,-0.19921875,0.5513102213541666,
54,54,54,123,2018_10_31_11_58,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,4.0,-2.1458079624993265,8.925409496920476,-2.420343538285552,-0.7308512369791667,-0.0158040364583333,0.6807210286458333,
55,55,55,124,2018_10_31_11_59,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-2.1543710938291225,9.182507737535005,-1.75471043074846,-0.8239827473958333,0.0280843098958333,0.5762613932291667,
56,56,56,125,2018_10_31_12_00,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-2.2147331955754503,9.117068917881156,-1.8872053225179364,-0.8796956380208333,0.0889322916666666,0.4876871744791666,
57,57,57,126,2018_10_31_12_01,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-1.5228999648835402,9.322871299272109,-1.7405109030100785,-0.8999755859375,0.0774332682291666,0.44619140625,
58,58,58,127,2018_10_31_12_02,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,4.0,-1.284265347799552,9.3041627474244,-1.9375083917777127,-0.9065104166666668,0.0129475911458333,0.39248046875,
59,59,59,128,2018_10_31_12_03,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-2.0127157436843883,9.14381677839956,-1.835565572298543,-0.9111735026041666,0.1139729817708333,0.4443277994791667,
60,60,60,129,2018_10_31_12_04,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,-1.4861353043719898,9.194064463025216,-0.9278349766133326,-0.8631530093798854,0.0446277357998957,0.0757393173527879,
61,61,61,130,2018_10_31_12_05,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,1.3514129132918271,9.684028432698772,1.0723114655237391,-0.4357421875,0.6144612630208334,-0.15498046875,
62,62,62,131,2018_10_31_12_06,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,1.9801066865819703,9.57423028454646,1.53927731208074,-0.4517252604166666,0.7238037109375,-0.2638427734375,
63,63,63,132,2018_10_31_12_07,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,1.9406806793531044,9.593605061443762,0.2948184056524334,-0.3964111328125,0.7689534505208333,-0.3074869791666667,
64,64,64,133,2018_10_31_12_08,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,2.180586898625084,9.471563896136637,-0.236724347379843,-0.325732421875,0.8957194010416667,-0.2916666666666667,
65,65,65,134,2018_10_31_12_09,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,2.201778128958566,9.469751542273244,-0.3412917103465291,-0.33037109375,0.8939453125,-0.3018391927083333,
66,66,66,135,2018_10_31_12_10,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,3.0,2.217462432256434,9.480824396752542,-0.2463923107673013,-0.3426920572916667,0.8826253255208333,-0.3220296223958333,
67,67,67,136,2018_10_31_12_11,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,4.0,2.1211501027267583,9.49913881802912,-0.2491296907866742,-0.3413899739583333,0.8877685546875,-0.3097981770833333,
68,68,68,137,2018_10_31_12_12,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,1.0,1.7882246883814106,9.564047595072802,0.0965549649843787,-0.4580647786458333,0.7706624348958333,-0.1752115885416666,
69,69,69,138,2018_10_31_12_13,work,2.0,1.0,1.0,0.0,,,other_indoor,3.0,4.0,2.0,0.420430398446363,7.267742695308486,4.007071946364742,-0.5542805989583334,0.5291910807291667,-0.3357014973958333,
