,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,2018_11_01_12_07,work,3.0,0.0,1.0,3.0,3.0,,workplace,5.0,5.0,3.0,-0.3291745825811866,5.103657825475923,8.62117852525195,,,,
1,1,2018_11_01_12_08,work,3.0,0.0,1.0,3.0,3.0,,workplace,5.0,5.0,3.0,-0.5247082094428919,0.4513324924244145,9.83353461203806,,,,
2,2,2018_11_01_12_09,work,3.0,0.0,1.0,3.0,3.0,,workplace,5.0,5.0,3.0,-0.5816301548544246,-0.2279210286674166,10.085990169652852,,,,
3,3,2018_11_01_12_10,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,3.0,0.2667304126267478,-3.5091735408601026,6.349895136978027,,,,
4,4,2018_11_01_12_11,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,4.0,1.0719267323145585,-4.495056057194854,3.452875183756994,,,,
5,5,2018_11_01_12_12,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,2.0,1.6519187421347117,-10.01473390991938,-0.0951447143153974,,,,
6,6,2018_11_01_12_13,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,2.0,1.6683057343771663,-9.96110363714607,0.0079650410560716,,,,
7,7,2018_11_01_12_14,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,2.0,1.5074215802295787,-9.80297772229132,-0.1989460898193276,,,,
8,8,2018_11_01_12_15,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,3.0,1.1769042975666313,-9.600317321668568,-0.4836729756965283,,,,
9,9,2018_11_01_12_16,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,3.0,1.217814855300784,-9.68008732071666,-0.0696959397502796,,,,
10,10,2018_11_01_12_17,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,2.0,0.9281222728109668,-9.816824551158351,-0.343381714808618,,,,
11,11,2018_11_01_12_18,travel,2.0,1.0,1.0,3.0,3.0,,workplace,5.0,5.0,2.0,1.323057842972564,-9.804776122172456,-0.0596847922214443,,,,
12,12,2018_11_01_12_19,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,2.0,1.6959527436111967,-5.024209503935043,0.9988016864165172,,,,
13,13,2018_11_01_12_20,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,5.147501462003725,2.4591332006810336,-3.0530285779518747,,,,
14,14,2018_11_01_12_21,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,4.0,6.330537461030254,1.953365626091828,-6.728324719092928,,,,
15,15,2018_11_01_12_22,meal,3.0,1.0,1.0,3.0,3.0,,workplace,6.0,6.0,3.0,6.3139925394176855,1.8930601658734607,-6.7446471224524025,,,,
