,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,,,,Class
0,0,0,0,2018_11_15_10_10,study,3,0,,3,3,,workplace,4,6,3,-0.060331201,0.154449482,10.40453703,-0.296370443,-0.411010742,0.723836263,,,,
1,1,1,1,2018_11_15_10_10,study,3,0,,3,3,,workplace,4,6,3,-0.060331201,0.154449482,10.40453703,-0.296370443,-0.411010742,0.723836263,,,,
2,2,2,2,2018_11_15_10_10,study,3,0,,3,3,,workplace,4,6,3,-0.060331201,0.154449482,10.40453703,-0.832657878,-0.271264648,-0.475170898,,,,
3,3,3,3,2018_11_15_10_10,study,3,0,,3,3,,workplace,4,6,3,-0.060331201,0.154449482,10.40453703,-0.832657878,-0.271264648,-0.475170898,,,,
4,4,4,4,2018_11_15_10_10,study,3,0,,3,3,,workplace,4,6,3,-0.154341556,1.081423118,10.36029364,-0.296370443,-0.411010742,0.723836263,,,,
5,5,5,5,2018_11_15_10_10,study,3,0,,3,3,,workplace,4,6,3,-0.154341556,1.081423118,10.36029364,-0.296370443,-0.411010742,0.723836263,,,,
6,6,6,6,2018_11_15_10_10,study,3,0,,3,3,,workplace,4,6,3,-0.154341556,1.081423118,10.36029364,-0.832657878,-0.271264648,-0.475170898,,,,
7,7,7,7,2018_11_15_10_10,study,3,0,,3,3,,workplace,4,6,3,-0.154341556,1.081423118,10.36029364,-0.832657878,-0.271264648,-0.475170898,,,,
8,8,8,8,2018_11_15_10_11,study,3,0,,3,3,,workplace,4,6,3,-0.084715843,0.149046769,10.41226286,-0.825585938,0.276098633,0.316455078,,,,
9,9,9,9,2018_11_15_10_11,study,3,0,,3,3,,workplace,4,6,3,-0.084715843,0.149046769,10.41226286,-0.825585938,0.276098633,0.316455078,,,,
10,10,10,10,2018_11_15_10_11,study,3,0,,3,3,,workplace,4,6,3,-0.084715843,0.149046769,10.41226286,-0.380249023,0.737386068,0.249731445,,,,
11,11,11,11,2018_11_15_10_11,study,3,0,,3,3,,workplace,4,6,3,-0.084715843,0.149046769,10.41226286,-0.380249023,0.737386068,0.249731445,,,,
12,12,12,12,2018_11_15_10_11,study,3,0,,3,3,,workplace,4,6,3,1.625638828,1.952899113,9.974400971,-0.825585938,0.276098633,0.316455078,,,,
13,13,13,13,2018_11_15_10_11,study,3,0,,3,3,,workplace,4,6,3,1.625638828,1.952899113,9.974400971,-0.825585938,0.276098633,0.316455078,,,,
14,14,14,14,2018_11_15_10_11,study,3,0,,3,3,,workplace,4,6,3,1.625638828,1.952899113,9.974400971,-0.380249023,0.737386068,0.249731445,,,,
15,15,15,15,2018_11_15_10_11,study,3,0,,3,3,,workplace,4,6,3,1.625638828,1.952899113,9.974400971,-0.380249023,0.737386068,0.249731445,,,,
16,16,16,16,2018_11_15_10_12,study,3,0,,3,3,,workplace,4,6,3,-0.181573254,0.165167745,10.41741127,-0.898087565,0.268041992,-0.090437826,,,,
17,17,17,17,2018_11_15_10_12,study,3,0,,3,3,,workplace,4,6,3,-0.181573254,0.165167745,10.41741127,-0.898087565,0.268041992,-0.090437826,,,,
18,18,18,18,2018_11_15_10_12,study,3,0,,3,3,,workplace,4,6,3,-0.181573254,0.165167745,10.41741127,-0.306697591,0.814892578,0.25296224,,,,
19,19,19,19,2018_11_15_10_12,study,3,0,,3,3,,workplace,4,6,3,-0.181573254,0.165167745,10.41741127,-0.306697591,0.814892578,0.25296224,,,,
20,20,20,20,2018_11_15_10_12,study,3,0,,3,3,,workplace,4,6,3,0.880420446,1.11045942,10.28009432,-0.898087565,0.268041992,-0.090437826,,,,
21,21,21,21,2018_11_15_10_12,study,3,0,,3,3,,workplace,4,6,3,0.880420446,1.11045942,10.28009432,-0.898087565,0.268041992,-0.090437826,,,,
22,22,22,22,2018_11_15_10_12,study,3,0,,3,3,,workplace,4,6,3,0.880420446,1.11045942,10.28009432,-0.306697591,0.814892578,0.25296224,,,,
23,23,23,23,2018_11_15_10_12,study,3,0,,3,3,,workplace,4,6,3,0.880420446,1.11045942,10.28009432,-0.306697591,0.814892578,0.25296224,,,,
24,24,24,24,2018_11_15_10_13,study,3,0,,3,3,,workplace,4,6,3,-0.190809563,0.169728257,10.42111383,-0.319458008,0.07738444,0.884269206,,,,
25,25,25,25,2018_11_15_10_13,study,3,0,,3,3,,workplace,4,6,3,-0.190809563,0.169728257,10.42111383,-0.319458008,0.07738444,0.884269206,,,,
26,26,26,26,2018_11_15_10_13,study,3,0,,3,3,,workplace,4,6,3,-0.190809563,0.169728257,10.42111383,-0.340812174,0.54305013,0.487296549,,,,
27,27,27,27,2018_11_15_10_13,study,3,0,,3,3,,workplace,4,6,3,-0.190809563,0.169728257,10.42111383,-0.340812174,0.54305013,0.487296549,,,,
28,28,28,28,2018_11_15_10_13,study,3,0,,3,3,,workplace,4,6,3,0.880814351,1.056985785,10.30145052,-0.319458008,0.07738444,0.884269206,,,,
29,29,29,29,2018_11_15_10_13,study,3,0,,3,3,,workplace,4,6,3,0.880814351,1.056985785,10.30145052,-0.319458008,0.07738444,0.884269206,,,,
30,30,30,30,2018_11_15_10_13,study,3,0,,3,3,,workplace,4,6,3,0.880814351,1.056985785,10.30145052,-0.340812174,0.54305013,0.487296549,,,,
31,31,31,31,2018_11_15_10_13,study,3,0,,3,3,,workplace,4,6,3,0.880814351,1.056985785,10.30145052,-0.340812174,0.54305013,0.487296549,,,,
32,32,32,32,2018_11_15_10_14,study,3,0,,3,3,,workplace,4,6,3,-0.199233506,0.168859587,10.42748137,-0.726407878,-0.06554362,0.56394043,,,,
33,33,33,33,2018_11_15_10_14,study,3,0,,3,3,,workplace,4,6,3,-0.199233506,0.168859587,10.42748137,-0.726407878,-0.06554362,0.56394043,,,,
34,34,34,34,2018_11_15_10_14,study,3,0,,3,3,,workplace,4,6,3,-0.199233506,0.168859587,10.42748137,-0.439314779,0.505997721,0.359350586,,,,
35,35,35,35,2018_11_15_10_14,study,3,0,,3,3,,workplace,4,6,3,-0.199233506,0.168859587,10.42748137,-0.439314779,0.505997721,0.359350586,,,,
