,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,ts,action,actionOption,actionSub,actionSubOption,condition,conditionSub1Option,conditionSub2Option,place,emotionPositive,emotionTension,activity,macc_x_mean,macc_y_mean,macc_z_mean,e4acc_x_mean,e4acc_y_mean,e4acc_z_mean,Class
0,0,0,0,0,0,2018_10_30_06_18,work,3.0,0.0,,3.0,3.0,,workplace,7.0,7.0,3.0,0.0195260725219922,2.495465566046319,9.686745076698385,-0.8474853515625,0.1524169921875,-0.0217854817708333,
1,1,1,1,1,1,2018_10_30_06_19,work,3.0,0.0,,3.0,3.0,,workplace,7.0,7.0,3.0,-0.2015392319540866,0.1741144980235142,10.21612418645017,-0.3756350964043772,0.6969938770192808,0.3596518368942157,
2,2,2,2,2,2,2018_10_30_06_35,travel,2.0,1.0,,0.0,,,outdoor,7.0,5.0,3.0,0.0673727802668532,-2.974228634064949,2.1990849836729653,-0.6638264973958333,-0.3556477864583333,0.2399658203125,
3,3,3,3,3,3,2018_10_30_06_36,travel,2.0,1.0,,0.0,,,outdoor,7.0,5.0,3.0,-0.6776247315116962,-9.47908536961389,-0.8923385310266931,-0.5664794921875,0.2821614583333333,0.2538981119791667,
4,4,4,4,4,4,2018_10_30_06_37,travel,2.0,1.0,,0.0,,,outdoor,7.0,5.0,4.0,-1.106536741877153,-9.54964757961926,-0.409388384258062,-0.5267740885416666,0.1599446614583333,0.4318684895833333,
5,5,5,5,5,5,2018_10_30_06_38,travel,2.0,1.0,,0.0,,,outdoor,7.0,5.0,2.0,-1.750540607957133,-9.535431445933405,-1.2419294991035246,-0.4826985677083333,0.6495198567708333,0.1363118489583333,
6,6,6,6,6,6,2018_10_30_06_39,travel,6.0,1.0,,0.0,,,outdoor,7.0,6.0,2.0,-1.390622097114511,-5.638083449582621,1.8238458510494129,-0.5812825520833333,0.3993815104166666,0.2044352213541666,
7,7,7,7,7,7,2018_10_30_06_40,travel,6.0,1.0,,0.0,,,outdoor,7.0,6.0,2.0,-0.768887282810189,-8.498657306809642,0.0987078762541461,-0.6064534505208333,0.6044352213541667,0.2737223307291667,
8,8,8,8,8,8,2018_10_30_06_43,work,2.0,1.0,1.0,0.0,,,other_indoor,5.0,5.0,2.0,3.026648978716017,-2.171221894137738,3.9138830160927767,-0.5334554036458333,0.4252848307291667,0.2012288411458333,
9,9,9,9,9,9,2018_10_30_06_44,work,2.0,1.0,1.0,0.0,,,other_indoor,5.0,5.0,2.0,0.5538595463684213,-8.182097258171359,-1.3363868183213905,-0.4844970703125,0.6137939453125,0.1489583333333333,
10,10,10,10,10,10,2018_10_30_06_45,work,2.0,1.0,1.0,0.0,,,other_indoor,5.0,5.0,3.0,4.695345922340422,-1.187800216846027,-7.874672893225085,-0.5965494791666667,0.2748942057291667,0.5984944661458333,
11,11,11,11,11,11,2018_10_30_06_46,work,2.0,1.0,1.0,0.0,,,other_indoor,5.0,5.0,3.0,4.818501927675075,-1.3043154747478989,-7.772225886420168,-0.5873209635416666,0.4363932291666667,0.5998046875,
12,12,12,12,12,12,2018_10_30_06_47,work,2.0,1.0,1.0,0.0,,,other_indoor,5.0,5.0,3.0,3.874322430732143,-3.124829993116457,-6.442336920974795,-0.5061604817708333,0.325048828125,0.5331705729166667,
13,13,13,13,13,13,2018_10_30_06_48,work,2.0,1.0,1.0,0.0,,,other_indoor,5.0,5.0,2.0,-0.6746367098987686,-9.89660832241153,-0.7537854520469212,-0.6856852213541667,0.4965657552083333,0.0488037109375,
14,14,14,14,14,14,2018_10_30_06_49,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,2.0,0.1990983252848182,1.9047919910330569,5.2543774059994295,-0.6420654296875,-0.14462890625,0.2727294921875,
15,15,15,15,15,15,2018_10_30_06_50,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,-1.1377310811157917,-8.245890723628223,5.412728358790601,-0.0604573567708333,-0.1681559244791666,0.8244466145833333,
16,16,16,16,16,16,2018_10_30_06_51,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,-0.7877861978142224,-8.984811576259803,2.768441166878497,-0.1594401041666666,-0.2196695963541666,0.7022298177083334,
17,17,17,17,17,17,2018_10_30_06_52,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,3.0,0.2974038214382984,-9.025703242665164,3.966531336618128,-0.7682942708333333,-0.3833251953125,0.2460286458333333,
18,18,18,18,18,18,2018_10_30_06_53,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,0.0123153336447679,-8.979202247509791,4.0537767133687685,-0.5930989583333334,-0.3131754557291666,0.709716796875,
19,19,19,19,19,19,2018_10_30_06_54,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,-0.9752846304863404,-9.042277649552071,3.8150397864893697,-0.3792665450755602,0.1403563053673788,0.8282227071391349,
20,20,20,20,20,20,2018_10_30_06_55,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,3.0,-2.3203342001933898,-6.458885405927186,4.391429321923905,-0.435205078125,-0.103564453125,0.70517578125,
21,21,21,21,21,21,2018_10_30_06_56,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,3.0,0.4506357022761896,2.054685974084032,5.461389300857149,-0.2091389973958333,0.16572265625,0.8994384765625,
22,22,22,22,22,22,2018_10_30_06_57,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,3.252039068645025,8.492362208734615,4.363526394960806,-0.3570393880208333,-0.208837890625,0.836083984375,
23,23,23,23,23,23,2018_10_30_06_58,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,3.0,2.5703967104003373,8.72459436881299,4.417298078835386,-0.2598307291666666,-0.1565104166666666,0.8223063151041666,
24,24,24,24,24,24,2018_10_30_06_59,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,2.388533901119817,8.81826577334826,4.2756621862542,-0.3872151692708333,-0.2731201171875,0.7835530598958333,
25,25,25,25,25,25,2018_10_30_07_00,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,2.802606684630104,8.918027525814226,3.764369044698376,-0.8048828125,-0.2555338541666667,0.5129638671875,
26,26,26,26,26,26,2018_10_30_07_01,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,2.91736023913774,8.825504599440075,3.899429349552073,-0.4591145833333333,-0.0270426432291666,0.8103190104166667,
27,27,27,27,27,27,2018_10_30_07_02,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,2.4496410084910365,8.861892258185884,4.186151758656211,-0.0534505208333333,-0.2070882161458333,0.9404703776041666,
28,28,28,28,28,28,2018_10_30_07_03,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,2.3784584141354936,8.792559594680833,4.392645614781635,-0.2200764973958333,-0.218798828125,0.8372884114583333,
29,29,29,29,29,29,2018_10_30_07_04,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,2.791076157284427,8.657165310806292,4.379071346360573,-0.12646484375,-0.1033447265625,0.764794921875,
30,30,30,30,30,30,2018_10_30_07_05,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,3.0,2.6568100902016774,8.70789013591034,4.368345789058828,-0.401804325169359,0.0162356696195935,0.5705038431474726,
31,31,31,31,31,31,2018_10_30_07_06,work,3.0,3.0,2.0,0.0,,,outdoor,6.0,2.0,0.0,2.37108813027155,8.381714059356105,3.210918059946248,-0.8166341145833333,-0.2700358072916666,0.3203694661458333,
